step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return
2.048000000000000000e+03,9.303529519923331748e+01,1.000000000000000000e+00,1.149917242558081032e+00,2.190152921676635600e+01,0.000000000000000000e+00,1.204133963851033258e+02
2.048000000000000000e+04,9.226186978238226288e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,1.289233990094719502e+02
4.096000000000000000e+04,9.139481076276494775e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,1.297492690543647029e+02
6.144000000000000000e+04,9.154584137259200816e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.345981483146621258e+02
8.192000000000000000e+04,9.083757780483492184e+01,1.000000000000000000e+00,1.142529650086157700e+00,2.094407186508178853e+01,0.000000000000000000e+00,1.329599943481891273e+02
1.024000000000000000e+05,9.170744713783435031e+01,1.000000000000000000e+00,1.140060973737968109e+00,2.189791984558105398e+01,0.000000000000000000e+00,1.348351608096401151e+02
1.228800000000000000e+05,9.103601076418168248e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,1.345118228497405823e+02
1.433600000000000000e+05,9.264276942230324607e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.295126924275435272e+02
1.638400000000000000e+05,9.190138128840591492e+01,1.000000000000000000e+00,1.133847259727758683e+00,2.093605575561523580e+01,0.000000000000000000e+00,1.331516972780050878e+02
1.843200000000000000e+05,9.180096744744463422e+01,1.000000000000000000e+00,1.136487824283278769e+00,2.541195240020751811e+01,0.000000000000000000e+00,1.353209232045038277e+02
2.048000000000000000e+05,8.984909253271881369e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,1.315247743722103451e+02
2.252800000000000000e+05,9.101116229452213702e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,1.330515345101533171e+02
2.457600000000000000e+05,9.231519356281646083e+01,1.000000000000000000e+00,1.147943677167040821e+00,2.095222320556640483e+01,0.000000000000000000e+00,1.271100289011982625e+02
2.662400000000000000e+05,9.181008419256757236e+01,1.000000000000000000e+00,1.140060973737968109e+00,2.189791984558105398e+01,0.000000000000000000e+00,1.364618842515178301e+02
2.867200000000000000e+05,9.148673988124519951e+01,1.000000000000000000e+00,1.140080901680227132e+00,2.489001045227050923e+01,0.000000000000000000e+00,1.325110264548766565e+02
2.990080000000000000e+05,9.118283364013846892e+01,1.000000000000000000e+00,1.140063884067171740e+00,2.091129608154296804e+01,0.000000000000000000e+00,1.338573709107658374e+02
