step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-1.416489844501839457e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.569667871475219840e+02,0.000000000000000000e+00,-1.309420801195095407e+02,1.080000000000000071e+01
2.048000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-1.067180214323471148e+02,0.000000000000000000e+00
4.096000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-9.159849410792875801e+01,0.000000000000000000e+00
6.144000000000000000e+04,8.535487893095952927e+01,1.000000000000000000e+00,1.150863955632507984e+00,2.004748106002807617e+01,0.000000000000000000e+00,-7.721104988507427436e+01,2.519999999999999929e+01
8.192000000000000000e+04,-2.281390942826613610e+01,9.000000000000000222e-01,1.158271957003716990e+00,8.802768735885619833e+01,0.000000000000000000e+00,-4.828510497032148407e+01,4.950000000000000000e+01
1.024000000000000000e+05,7.146304541808903821e+01,9.100000001490116119e-01,1.155803141769888409e+00,2.723576307296752930e+01,0.000000000000000000e+00,-2.433547466429475747e+01,2.439999999999999858e+01
1.228800000000000000e+05,8.694720995319771362e+01,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,-1.608737363307596979e+00,1.719999999999999929e+01
1.433600000000000000e+05,-9.301874537680063781e+00,9.000000000000000222e-01,1.155180348087583297e+00,8.841785764694213867e+01,0.000000000000000000e+00,2.808329341712121874e+01,1.319999999999999929e+01
1.638400000000000000e+05,6.742952062349897346e+01,1.000000000000000000e+00,1.139949460145430749e+00,2.117973642349243235e+01,0.000000000000000000e+00,3.285072521525863465e+01,1.760000000000000142e+01
1.843200000000000000e+05,-8.160526372876291124e-01,9.000000000000000222e-01,1.150161894003872476e+00,8.885012559890746786e+01,0.000000000000000000e+00,3.988935878868140605e+01,1.390000000000000036e+01
2.048000000000000000e+05,1.022964704573035846e+02,1.000000000000000000e+00,1.139949460145430749e+00,2.117973642349243235e+01,0.000000000000000000e+00,4.458438055687776824e+01,1.760000000000000142e+01
2.252800000000000000e+05,1.005265651886578269e+02,1.000000000000000000e+00,1.139952393383168783e+00,2.117973642349243235e+01,0.000000000000000000e+00,4.437272146131314088e+01,1.650000000000000000e+01
2.457600000000000000e+05,9.881708164432588148e+01,1.000000000000000000e+00,1.139949460145430749e+00,2.117973642349243235e+01,0.000000000000000000e+00,5.195357484388357250e+01,1.860000000000000142e+01
2.662400000000000000e+05,9.350753614287290816e+01,1.000000000000000000e+00,1.139949460145430749e+00,2.117973642349243235e+01,0.000000000000000000e+00,5.419904146016549618e+01,1.680000000000000071e+01
2.867200000000000000e+05,9.211630970335473023e+01,1.000000000000000000e+00,1.139949460145430749e+00,2.117973642349243235e+01,0.000000000000000000e+00,5.622571556705349849e+01,1.680000000000000071e+01
2.990080000000000000e+05,7.355876760048224128e+01,1.000000000000000000e+00,1.139946479289642323e+00,2.117973642349243235e+01,0.000000000000000000e+00,5.809667426053406558e+01,1.689999999999999858e+01
