step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-1.436647851831751588e+01,9.000000000000000222e-01,1.121776462920411221e+00,9.044618244171142862e+01,0.000000000000000000e+00,3.514845454699460703e+01,1.177999999999999972e+02
4.096000000000000000e+04,9.145458555681977941e+01,1.000000000000000000e+00,1.122416882768334290e+00,2.653785686492919993e+01,0.000000000000000000e+00,5.236384028973940019e+01,1.119999999999999929e+01
8.192000000000000000e+04,9.066803506449353733e+01,1.000000000000000000e+00,1.136472660660012846e+00,2.153246240615844798e+01,0.000000000000000000e+00,5.383606997893467394e+01,1.950000000000000000e+01
1.228800000000000000e+05,9.092038245615303538e+01,1.000000000000000000e+00,1.113723622963402660e+00,2.583495273590087749e+01,0.000000000000000000e+00,5.576938395429815643e+01,1.880000000000000071e+01
1.638400000000000000e+05,8.626471842396264833e+01,1.000000000000000000e+00,1.143996444008803293e+00,2.137237339019775462e+01,0.000000000000000000e+00,5.811489165725242856e+01,5.589999999999999858e+01
2.048000000000000000e+05,8.898186991973345528e+01,1.000000000000000000e+00,1.141545340342645432e+00,2.163949527740478374e+01,0.000000000000000000e+00,5.356992744988711763e+01,4.870000000000000284e+01
2.457600000000000000e+05,8.954024622046826209e+01,1.000000000000000000e+00,1.136475496122886897e+00,2.201621093749999858e+01,0.000000000000000000e+00,5.824213481179940288e+01,3.450000000000000000e+01
2.867200000000000000e+05,9.115299262259193824e+01,1.000000000000000000e+00,1.108925610920164173e+00,2.297138729095458842e+01,0.000000000000000000e+00,5.894129193589035509e+01,1.409999999999999964e+01
3.276800000000000000e+05,9.210249129837933424e+01,1.000000000000000000e+00,1.108927077061457656e+00,2.291538753509521342e+01,0.000000000000000000e+00,5.768702982015233971e+01,1.040000000000000036e+01
3.686400000000000000e+05,9.123281372477937623e+01,1.000000000000000000e+00,1.108918784201455399e+00,2.355938758850097514e+01,0.000000000000000000e+00,6.003194926577570811e+01,2.250000000000000000e+01
4.096000000000000000e+05,9.194186975377202486e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,6.268544615554433364e+01,6.000000000000000000e+00
4.505600000000000000e+05,9.193671760677348459e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,6.337671554895058534e+01,6.000000000000000000e+00
4.915200000000000000e+05,9.157336516626070022e+01,1.000000000000000000e+00,1.113715202022535822e+00,2.689895248413085938e+01,0.000000000000000000e+00,6.244364483035936786e+01,9.000000000000000000e+00
5.324800000000000000e+05,9.057493173689414334e+01,1.000000000000000000e+00,1.135042046566422824e+00,2.188715400695800639e+01,0.000000000000000000e+00,6.204958147485391606e+01,2.410000000000000142e+01
5.734400000000000000e+05,9.067824103890292520e+01,1.000000000000000000e+00,1.137429627422818612e+00,2.165541124343872070e+01,0.000000000000000000e+00,6.584134192242166250e+01,1.980000000000000071e+01
6.144000000000000000e+05,9.440508087461930131e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.455449447050391143e+01,3.629999999999999716e+01
6.553600000000000000e+05,9.213957322784267490e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.446956527574249662e+01,2.469999999999999929e+01
6.963200000000000000e+05,9.363956235983812348e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.071729686808804161e+01,3.350000000000000000e+01
7.372800000000000000e+05,9.842132441528629272e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.643108818201676513e+01,4.050000000000000000e+01
7.782400000000000000e+05,9.527968780889288780e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.916565248716122483e+01,3.150000000000000000e+01
8.192000000000000000e+05,9.134819069053925489e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,6.714765632008818841e+01,1.969999999999999929e+01
8.601600000000000000e+05,9.060387785404701333e+01,1.000000000000000000e+00,1.143000700352195143e+00,2.070166006088256694e+01,0.000000000000000000e+00,7.016245590218940720e+01,2.260000000000000142e+01
9.011200000000000000e+05,9.116970031076924386e+01,1.000000000000000000e+00,1.143000700352195143e+00,2.070166006088256694e+01,0.000000000000000000e+00,7.463194448104026435e+01,2.280000000000000071e+01
9.420800000000000000e+05,9.103452420706267390e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,7.581779459299625046e+01,1.830000000000000071e+01
9.830400000000000000e+05,9.107752719190321500e+01,1.000000000000000000e+00,1.138914419068362438e+00,2.138870058059692525e+01,0.000000000000000000e+00,7.381334128682100015e+01,1.550000000000000000e+01
9.994240000000000000e+05,9.111173337227411650e+01,1.000000000000000000e+00,1.136472660660012846e+00,2.153246240615844798e+01,0.000000000000000000e+00,7.540732011545645719e+01,1.509999999999999964e+01
