global_step,episodic_return
6.000000000000000000e+02,-7.176765399999999318e+01
6.640000000000000000e+02,-1.920481000000000051e+02
7.440000000000000000e+02,-2.715460800000000177e+02
7.520000000000000000e+02,-1.767941700000000083e+02
7.840000000000000000e+02,-2.347398399999999867e+02
9.440000000000000000e+02,-5.988982000000000028e+01
9.840000000000000000e+02,-1.590929099999999892e+02
1.000000000000000000e+03,-1.576858699999999942e+02
1.296000000000000000e+03,-3.320841399999999908e+02
1.312000000000000000e+03,-7.230183999999999855e+01
1.392000000000000000e+03,-4.352038299999999822e+02
1.496000000000000000e+03,-6.813945999999999970e+01
1.568000000000000000e+03,-1.855234499999999969e+02
1.616000000000000000e+03,-2.252565299999999979e+02
1.808000000000000000e+03,-1.397276300000000049e+02
1.840000000000000000e+03,-1.395294199999999876e+02
1.848000000000000000e+03,-3.449744299999999839e+02
2.024000000000000000e+03,-1.060266100000000051e+02
2.168000000000000000e+03,-3.144087000000000103e+02
2.208000000000000000e+03,-1.052990949999999941e+02
2.224000000000000000e+03,-1.124342199999999963e+02
2.304000000000000000e+03,-9.044271999999999423e+01
2.384000000000000000e+03,-4.328951700000000073e+02
2.432000000000000000e+03,-2.441353000000000009e+02
2.480000000000000000e+03,-7.849686400000000219e+01
2.808000000000000000e+03,-1.336120999999999981e+02
2.816000000000000000e+03,-9.198784000000000560e+01
2.872000000000000000e+03,-9.019904999999999973e+01
2.952000000000000000e+03,-1.302974100000000135e+02
2.960000000000000000e+03,-9.762033999999999878e+01
2.968000000000000000e+03,-6.786193000000000097e+01
3.272000000000000000e+03,-2.602774000000000001e+02
3.376000000000000000e+03,-3.830820600000000127e+02
3.496000000000000000e+03,-3.597382999999999811e+02
3.544000000000000000e+03,-6.892622000000000071e+01
3.544000000000000000e+03,-1.182354600000000033e+02
3.600000000000000000e+03,-3.320633199999999761e+02
3.680000000000000000e+03,-1.598012799999999913e+02
3.768000000000000000e+03,-1.551848400000000083e+02
4.072000000000000000e+03,-2.906078999999999724e+02
4.104000000000000000e+03,-1.154901399999999967e+02
4.168000000000000000e+03,-1.324703399999999931e+02
4.272000000000000000e+03,-2.759756499999999733e+02
4.280000000000000000e+03,-1.441245000000000118e+02
4.512000000000000000e+03,-1.007823640000000012e+02
4.528000000000000000e+03,-2.909542999999999893e+02
4.672000000000000000e+03,-4.589322500000000105e+02
4.824000000000000000e+03,-7.963801599999999326e+01
4.840000000000000000e+03,-3.614284000000000106e+02
4.888000000000000000e+03,-2.024642599999999959e+02
4.896000000000000000e+03,-2.253861100000000022e+02
4.896000000000000000e+03,-1.011287899999999951e+02
5.216000000000000000e+03,-2.773568000000000211e+02
5.264000000000000000e+03,-1.729243500000000040e+02
5.392000000000000000e+03,-9.506599400000000344e+01
5.496000000000000000e+03,8.828552000000000177e+00
5.624000000000000000e+03,-2.135862099999999941e+02
5.632000000000000000e+03,-3.339545299999999770e+02
5.688000000000000000e+03,-1.810531499999999880e+02
5.816000000000000000e+03,-1.686528999999999883e+02
6.072000000000000000e+03,-2.623434400000000011e+01
6.104000000000000000e+03,-3.752101400000000240e+02
6.112000000000000000e+03,-2.681046000000000049e+02
6.176000000000000000e+03,-1.285124999999999886e+02
6.240000000000000000e+03,-9.945825999999999567e+01
6.280000000000000000e+03,-5.557589999999999719e+01
6.568000000000000000e+03,-5.427187500000000000e+02
6.632000000000000000e+03,-7.287771600000000660e+01
6.768000000000000000e+03,-1.902364800000000002e+02
6.768000000000000000e+03,-4.480002700000000004e+02
6.784000000000000000e+03,-1.307812800000000095e+02
7.064000000000000000e+03,-2.911800999999999817e+02
7.128000000000000000e+03,-2.297666299999999922e+02
7.184000000000000000e+03,-3.218376999999999839e+02
7.280000000000000000e+03,-5.830992499999999978e+01
