global_step,episodic_return
4.120000000000000000e+02,-2.550384916080376740e+02
4.200000000000000000e+02,-1.228529891703669961e+02
4.680000000000000000e+02,-8.979405210112081193e+01
6.480000000000000000e+02,-2.630339197501591002e+02
7.280000000000000000e+02,-6.070239681134958687e+01
7.640000000000000000e+02,-4.758121296028876657e+01
7.920000000000000000e+02,-3.907200863865178349e+02
1.028000000000000000e+03,-8.603510164124114112e+01
1.076000000000000000e+03,-1.247279609003862362e+02
1.092000000000000000e+03,-1.175100335928148496e+02
1.208000000000000000e+03,-1.230649847330297462e+02
1.288000000000000000e+03,-1.946628505407181251e+02
1.360000000000000000e+03,-3.556036176543021838e+02
1.376000000000000000e+03,-8.636673543865757097e+01
1.464000000000000000e+03,-1.290554657294348146e+02
1.584000000000000000e+03,-1.112546379513066768e+02
1.764000000000000000e+03,-2.613889904886702880e+02
1.820000000000000000e+03,-1.008742247395680067e+02
1.840000000000000000e+03,-8.491672977045463711e+01
1.856000000000000000e+03,-9.424937080828632929e+01
2.108000000000000000e+03,-9.750887596507936905e+01
2.212000000000000000e+03,-3.560258515073685999e+02
2.256000000000000000e+03,-1.043034981949839732e+02
2.268000000000000000e+03,-1.218730692710048800e+02
2.508000000000000000e+03,-9.876315413437943391e+01
2.536000000000000000e+03,-1.078584682691973455e+02
2.752000000000000000e+03,-2.868759362834408080e+02
2.872000000000000000e+03,-1.270663731584713503e+02
2.892000000000000000e+03,-7.905496459144025323e+01
3.004000000000000000e+03,-1.169076269566243411e+02
3.084000000000000000e+03,-1.245495513465108530e+02
3.312000000000000000e+03,-1.191146385377575143e+02
3.328000000000000000e+03,-8.330969503460875103e+01
3.456000000000000000e+03,-2.663034572659347532e+02
3.536000000000000000e+03,-1.392044728744622830e+02
3.640000000000000000e+03,-1.149491930306502212e+02
3.800000000000000000e+03,-7.272317060248451526e+01
3.820000000000000000e+03,-3.780841116942181088e+02
3.952000000000000000e+03,-1.103217388501849996e+02
3.964000000000000000e+03,-4.748228512110647443e+02
4.076000000000000000e+03,-1.739933781043942531e+02
4.092000000000000000e+03,-6.257518732688318153e+01
4.340000000000000000e+03,-1.167044428112103986e+02
4.456000000000000000e+03,-3.662317261809374145e+02
4.508000000000000000e+03,-2.126757553893870067e+02
4.612000000000000000e+03,-2.842845772015978127e+02
4.720000000000000000e+03,-3.123933795391332069e+02
4.756000000000000000e+03,-1.124951397630861152e+02
5.040000000000000000e+03,-2.401798822811564094e+02
5.096000000000000000e+03,-2.384323728419226995e+02
5.108000000000000000e+03,-1.114312665667268050e+02
5.124000000000000000e+03,-1.538649813605490522e+02
5.444000000000000000e+03,-9.065574024124964581e+01
5.500000000000000000e+03,-8.855051734263854257e+01
5.532000000000000000e+03,-3.560129696947000184e+02
5.552000000000000000e+03,-1.256477122983715589e+02
5.784000000000000000e+03,-1.196291699293592501e+02
5.876000000000000000e+03,-8.331306197938573632e+01
5.924000000000000000e+03,-1.458205863736343417e+02
6.004000000000000000e+03,-1.604336285622495382e+02
6.140000000000000000e+03,-1.250680157505401553e+02
6.276000000000000000e+03,-1.484654148177461082e+02
6.308000000000000000e+03,-1.620669465446639776e+02
6.368000000000000000e+03,-6.935368397308693034e+01
6.628000000000000000e+03,-2.313453325659096720e+02
6.636000000000000000e+03,-1.354090764922283370e+02
6.688000000000000000e+03,-1.169876873542967530e+02
6.696000000000000000e+03,-1.842167039567811742e+02
6.944000000000000000e+03,-1.864753974288526592e+02
7.012000000000000000e+03,-1.234228286974352216e+02
7.024000000000000000e+03,-2.909963151718258132e+02
7.048000000000000000e+03,-2.997715801427208362e+02
7.376000000000000000e+03,-9.828296982380734903e+01
7.436000000000000000e+03,-2.889044608556706635e+02
7.484000000000000000e+03,-1.930974134625188867e+02
7.512000000000000000e+03,-2.238000395851785811e+02
7.640000000000000000e+03,-2.334191128559972981e+02
7.804000000000000000e+03,-3.625968474471156924e+02
7.964000000000000000e+03,-2.036261071922726842e+02
7.980000000000000000e+03,-1.348949876267002139e+02
8.108000000000000000e+03,-2.610870910030232608e+02
8.240000000000000000e+03,-2.202952464121819389e+02
8.244000000000000000e+03,-7.376059676762331208e+01
8.496000000000000000e+03,-3.468546296089709813e+02
8.556000000000000000e+03,-1.913216111734641629e+02
8.604000000000000000e+03,-3.215753466093437396e+02
8.660000000000000000e+03,-1.050118911817767042e+02
8.900000000000000000e+03,-2.326217757587113795e+02
9.008000000000000000e+03,-2.469001652134301992e+02
9.092000000000000000e+03,-2.445247018476545691e+02
9.100000000000000000e+03,-3.748529169379550012e+02
9.248000000000000000e+03,-9.374167959900194091e+01
9.380000000000000000e+03,-1.109394006780745485e+02
9.468000000000000000e+03,-6.339900017573339142e+01
9.480000000000000000e+03,-1.714835909183978515e+02
9.628000000000000000e+03,-2.814816379559808297e+02
9.648000000000000000e+03,-1.242037059070654408e+02
9.736000000000000000e+03,-1.107365906471640642e+02
9.836000000000000000e+03,-4.961473344154376974e+01
1.002400000000000000e+04,-2.625494243211790035e+02
1.010400000000000000e+04,-5.036742065774441244e+02
1.014800000000000000e+04,-1.119499649549485127e+02
1.025200000000000000e+04,-2.990046287435956174e+02
1.039600000000000000e+04,-7.791603581173913540e+01
1.044400000000000000e+04,-5.737308303068193283e+01
1.049600000000000000e+04,-1.017626884052951652e+02
1.071200000000000000e+04,-2.957767689502410349e+02
1.072400000000000000e+04,-1.285481842799339347e+02
1.091200000000000000e+04,-1.608116826008448470e+02
1.093200000000000000e+04,-3.657420023243561218e+02
1.099600000000000000e+04,-6.404513213906204783e+01
